GeneID	SRR1023811	SRR1023810	SRR1023805	SRR1023808	SRR1023812	SRR1023806	SRR1023809	SRR1023807
WP_003898937.1	1047	872	1068	1478	1035	1125	771	1846
WP_003407931.1	24711	18621	17562	10487	21340	22627	16344	14358
WP_003901204.1	26565	19734	21091	15545	23647	26440	18087	20668
WP_003898939.1	13042	8811	10681	5687	12060	11935	9520	7096
WP_003898940.1	4653	4202	3753	1739	4199	4958	3565	2314
WP_003407939.1	2295	2749	2102	1221	2367	2234	2331	1417
WP_003407943.1	5272	3863	5251	5721	4841	6554	4021	7819
WP_003407947.1	3245	2103	2893	2919	3127	3063	2147	3317
WP_003407950.1	2380	1401	1997	1192	2359	1893	1628	1567
WP_003407952.1	1226	692	999	664	1001	1250	727	910
WP_003900374.1	2187	1574	1997	1282	1900	2353	1524	1576
WP_003407957.1	2234	1460	2129	1434	2105	2237	1632	1717
WP_003898942.1	2148	1313	2030	1414	1902	2400	1431	1758
WP_003407963.1	881	623	863	502	881	802	658	540
WP_003898943.1	3749	2482	2998	1663	3361	3336	2385	2047
WP_003407974.1	3017	2515	2245	1277	2791	2685	2084	1543
WP_003407977.1	5758	3488	4407	2807	5301	4935	3341	3612
WP_003407980.1	2232	1592	1711	881	1940	2241	1623	1153
WP_003917500.1	21256	17500	27529	15596	22021	25150	21015	17884
WP_003407997.1	8270	6610	9900	3949	8247	10104	7436	4728
WP_003407999.1	2918	1863	3381	1573	2744	3700	2631	1833
WP_003408002.1	6908	5743	8582	3708	7204	8539	6502	4056
WP_003408004.1	4817	4147	4100	3241	5376	4097	3700	3501
WP_003408005.1	2401	2350	1869	1665	2233	2485	1961	2056
WP_003898945.1	12460	9545	8444	5886	10809	10863	7759	7479
WP_003408017.1	4270	3050	3655	1860	4324	3609	3137	2179
WP_003900378.1	1735	1392	1391	1312	1583	1631	1227	1730
WP_003908715.1	1694	1035	879	875	1657	1148	896	1288
WP_071854213.1	1904	1132	1077	1063	1902	1317	954	1326
WP_003408024.1	1711	844	749	773	1459	999	685	967
WP_003408027.1	4834	2443	2253	2082	3995	2628	1967	2511
WP_003898948.1	1957	2832	2470	692	1571	3060	2182	857
WP_003408035.1	2961	2400	2673	2277	2696	3163	2248	3086
WP_003408045.1	10476	11204	12145	4077	8903	16198	9681	5170
WP_003408054.1	7559	6754	7290	4276	7432	7989	6626	5843
WP_003408058.1	1324	1148	1277	904	1207	1415	1281	1109
WP_003408063.1	5637	5126	5908	2777	5467	6318	4819	3636
WP_003408066.1	49104	45776	47990	18933	44540	55437	38630	21624
WP_003408069.1	6925	5227	7841	3167	6945	8435	5952	3760
WP_003898953.1	2667	3223	4317	1314	2795	4149	3192	1480
WP_003906643.1	697	1008	1159	413	725	1311	855	432
WP_003908717.1	5897	4395	5118	5390	5182	5895	4548	6340
WP_003898954.1	2024	1730	2329	1793	1962	2462	2032	2186
WP_003408080.1	2827	2649	2763	2069	2634	3006	2350	2719
WP_003905612.1	796	1057	881	405	711	1041	951	574
WP_003408085.1	7286	9976	9587	1840	6308	11189	9108	2393
